time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA
2019-04-04T00:00:00Z,4979,5085.5,4780,4910,1189.8290499999998,1282.3459999999998,876.3760999999998,3228374415,1457445699.3
2019-04-05T00:00:00Z,4910,5073.5,4885,5040,1189.8290499999998,1282.3459999999998,876.3760999999998,1992032192,1489822137.45
2019-04-06T00:00:00Z,5040,5245,4890.5,5043,1189.8290499999998,1282.3459999999998,876.3760999999998,2185695456,1565070931.95
2019-04-07T00:00:00Z,5043,5280,5028,5192,1189.8290499999998,1282.3459999999998,876.3760999999998,2199032130,1626174367.85
2019-04-08T00:00:00Z,5192,5341,5133,5285.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2648582157,1715119216.75
2019-04-09T00:00:00Z,5285.5,5285.5,5140.5,5184,1189.8290499999998,1282.3459999999998,876.3760999999998,2031518158,1760964509.35
2019-04-10T00:00:00Z,5184,5474,5109,5321.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2276535912,1802477204.85
2019-04-11T00:00:00Z,5321.5,5342.5,4959,5038.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2473244609,1896326802.8
2019-04-12T00:00:00Z,5038.5,5132,4923,5075.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1563910560,1945730388.35
2019-04-13T00:00:00Z,5075.5,5117,5027.5,5066,1189.8290499999998,1282.3459999999998,876.3760999999998,925759271,1968998646.65
2019-04-14T00:00:00Z,5066,5183.5,5008,5160,1189.8290499999998,1282.3459999999998,876.3760999999998,985278444,1965790274.1
2019-04-15T00:00:00Z,5160,5191.5,4942,5024,1189.8290499999998,1282.3459999999998,876.3760999999998,1538220012,2011282290.5
2019-04-16T00:00:00Z,5024,5329.5,5013,5202.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1450183323,2016822133.15
2019-04-17T00:00:00Z,5202.5,5291,5150.5,5227,1189.8290499999998,1282.3459999999998,876.3760999999998,1298952715,2053589121.4
2019-04-18T00:00:00Z,5227,5318,5222,5278.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1343604396,2042556054.9
2019-04-19T00:00:00Z,5278.5,5390,5155,5287.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1330864714,2056587242.55
2019-04-20T00:00:00Z,5287.5,5358.5,5250.5,5320,1189.8290499999998,1282.3459999999998,876.3760999999998,1101158871,2091421905.9
2019-04-21T00:00:00Z,5320,5348,5205,5295.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1261258028,2094748068.8
2019-04-22T00:00:00Z,5295.5,5444,5256,5383,1189.8290499999998,1282.3459999999998,876.3760999999998,1753224027,1938965435
2019-04-23T00:00:00Z,5383,5650,5365,5529.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2490883494,1803915644.2
2019-04-24T00:00:00Z,5529.5,5622.5,5360,5440,1189.8290499999998,1282.3459999999998,876.3760999999998,2552274532,1770110650.05
2019-04-25T00:00:00Z,5440,5503.5,4960,5119.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2487873376,1794902709.25
2019-04-26T00:00:00Z,5119.5,5274.5,5042,5149.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2782394111,1824737642
2019-04-27T00:00:00Z,5149.5,5221,5103,5161.5,1189.8290499999998,1282.3459999999998,876.3760999999998,906388719,1760105471.45
2019-04-28T00:00:00Z,5161.5,5212.5,5090,5153.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1090151542,1682183940.7
2019-04-29T00:00:00Z,5153.5,5190,5060.5,5141,1189.8290499999998,1282.3459999999998,876.3760999999998,1259511670,1643583616.3
2019-04-30T00:00:00Z,5141,5294,5124.5,5264,1189.8290499999998,1282.3459999999998,876.3760999999998,1399458741,1599729757.75
2019-05-01T00:00:00Z,5264,5350,5255,5317,1189.8290499999998,1282.3459999999998,876.3760999999998,1226168918,1537375973.2
2019-05-02T00:00:00Z,5317,5418.5,5305.5,5385,1189.8290499999998,1282.3459999999998,876.3760999999998,1550731363,1536717013.35
2019-05-03T00:00:00Z,5385,5800,5355,5657.5,1189.8290499999998,1282.3459999999998,876.3760999999998,4257938033,1703325951.45
2019-05-04T00:00:00Z,5657.5,5850,5502,5769,1189.8290499999998,1282.3459999999998,876.3760999999998,3376678956,1822895977.05
2019-05-05T00:00:00Z,5769,5783,5607.5,5715.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2130999207,1852534936.8
2019-05-06T00:00:00Z,5715.5,5755,5555.5,5684.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2434873172,1901769429.25
2019-05-07T00:00:00Z,5684.5,5975,5684.5,5738,1189.8290499999998,1282.3459999999998,876.3760999999998,3524010933,2013022340.15
2019-05-08T00:00:00Z,5738,6000,5642,5939,1189.8290499999998,1282.3459999999998,876.3760999999998,2348502655,2063267253.1
2019-05-09T00:00:00Z,5939,6163.5,5928.5,6140,1189.8290499999998,1282.3459999999998,876.3760999999998,2740351645,2133741599.65
2019-05-10T00:00:00Z,6140,6424,6103.5,6341.5,1189.8290499999998,1282.3459999999998,876.3760999999998,4080394057,2282703358.95
2019-05-11T00:00:00Z,6341.5,7471.5,6341.5,7218,1189.8290499999998,1282.3459999999998,876.3760999999998,7857790177,2612529966.4
2019-05-12T00:00:00Z,7218,7585,6771,6975.5,1189.8290499999998,1282.3459999999998,876.3760999999998,8298233952,2939780462.65
2019-05-13T00:00:00Z,6975.5,8190,6863.5,7827,1189.8290499999998,1282.3459999999998,876.3760999999998,7322163617,3181344468.8
2019-05-14T00:00:00Z,7827,8339,7627,7997.5,1189.8290499999998,1282.3459999999998,876.3760999999998,6768836755,3392172579.95
2019-05-15T00:00:00Z,7997.5,8325,7855.5,8203.5,1189.8290499999998,1282.3459999999998,876.3760999999998,4860301877,3510794005
2019-05-16T00:00:00Z,8203.5,8400,7650,7884.5,1189.8290499999998,1282.3459999999998,876.3760999999998,4690708835,3606209741.2
2019-05-17T00:00:00Z,7884.5,7940,6380,7352,1189.8290499999998,1282.3459999999998,876.3760999999998,5797282171,3850754413.8
2019-05-18T00:00:00Z,7352,7490,7202,7258.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2603107435,3926402208.45
2019-05-19T00:00:00Z,7258.5,8340,7245.5,8206.5,1189.8290499999998,1282.3459999999998,876.3760999999998,5010585251,4113955887.5
2019-05-20T00:00:00Z,8206.5,8206.5,7578.5,8009.5,1189.8290499999998,1282.3459999999998,876.3760999999998,5221582421,4305062071.5
2019-05-21T00:00:00Z,8009.5,8126.5,7800,7959,1189.8290499999998,1282.3459999999998,876.3760999999998,3285592576,4408033254.4
2019-05-22T00:00:00Z,7959,8057,7497.5,7624,1189.8290499999998,1282.3459999999998,876.3760999999998,3386129163,4499803144.4
2019-05-23T00:00:00Z,7624,7984.5,7460,7875.5,1189.8290499999998,1282.3459999999998,876.3760999999998,3402334516,4457022968.55
2019-05-24T00:00:00Z,7875.5,8194,7801.5,7997.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2932142554,4434796148.45
2019-05-25T00:00:00Z,7997.5,8173,7938.5,8067,1189.8290499999998,1282.3459999999998,876.3760999999998,1826767751,4419584575.65
2019-05-26T00:00:00Z,8067,8889,7883,8750,1189.8290499999998,1282.3459999999998,876.3760999999998,3550946328,4475388233.45
2019-05-27T00:00:00Z,8750,8964,8659,8779.5,1189.8290499999998,1282.3459999999998,876.3760999999998,3887822210,4493578797.3
2019-05-28T00:00:00Z,8779.5,8823.5,8561,8721,1189.8290499999998,1282.3459999999998,876.3760999999998,2620793904,4507193359.75
2019-05-29T00:00:00Z,8721,8777,8442,8665.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2868619212,4513606738.1
2019-05-30T00:00:00Z,8665.5,9111,7944,8274.5,1189.8290499999998,1282.3459999999998,876.3760999999998,4849691428,4552071606.65
2019-05-31T00:00:00Z,8274.5,8579,8115,8546,1189.8290499999998,1282.3459999999998,876.3760999999998,3025912090,4310477702.3
2019-06-01T00:00:00Z,8546,8637,8456,8555.5,1189.8290499999998,1282.3459999999998,876.3760999999998,1642093097,3977670659.55
2019-06-02T00:00:00Z,8555.5,8860.5,8549,8738,1189.8290499999998,1282.3459999999998,876.3760999999998,2134295452,3718277251.3
2019-06-03T00:00:00Z,8738,8744.5,8025.5,8100.5,1189.8290499999998,1282.3459999999998,876.3760999999998,3904828271,3575076827.1
2019-06-04T00:00:00Z,8100.5,8100.5,7435,7663,1189.8290499999998,1282.3459999999998,876.3760999999998,5013529082,3582738187.35
2019-06-05T00:00:00Z,7663,7931,7583.5,7783,1189.8290499999998,1282.3459999999998,876.3760999999998,3279374691,3512171480.15
2019-06-06T00:00:00Z,7783,7880,7448,7805,1189.8290499999998,1282.3459999999998,876.3760999999998,2965405273,3370577635.25
2019-06-07T00:00:00Z,7805,8130,7764.5,7996.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2725467874,3376695657.2
2019-06-08T00:00:00Z,7996.5,8055.5,7786,7926,1189.8290499999998,1282.3459999999998,876.3760999999998,1855869071,3218959848.2
2019-06-09T00:00:00Z,7926,7958,7500,7629,1189.8290499999998,1282.3459999999998,876.3760999999998,2490212260,3082391340.15
2019-06-10T00:00:00Z,7629,8108,7515,8016,1189.8290499999998,1282.3459999999998,876.3760999999998,2840864492,3060154935.95
2019-06-11T00:00:00Z,8016,8059,7704.5,7917.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2258169848,3003756970.2
2019-06-12T00:00:00Z,7917.5,8273,7816,8176.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2810073967,2974143942.75
2019-06-13T00:00:00Z,8176.5,8336.5,8047.5,8234,1189.8290499999998,1282.3459999999998,876.3760999999998,2218764077,2938475018.9
2019-06-14T00:00:00Z,8234,8743,8178.5,8695,1189.8290499999998,1282.3459999999998,876.3760999999998,3216324015,3007952832.1
2019-06-15T00:00:00Z,8695,8929,8633.5,8859.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2663048927,2963557962.05
2019-06-16T00:00:00Z,8859.5,9442,8794,8974.5,1189.8290499999998,1282.3459999999998,876.3760999999998,5905904615,3064462082.3
2019-06-17T00:00:00Z,8974.5,9496,8974.5,9347.5,1189.8290499999998,1282.3459999999998,876.3760999999998,4612766979,3164060736.05
2019-06-18T00:00:00Z,9347.5,9364.5,8931,9085.5,1189.8290499999998,1282.3459999999998,876.3760999999998,3970490506,3219154300.75
2019-06-19T00:00:00Z,9085.5,9329.5,9045,9287.5,1189.8290499999998,1282.3459999999998,876.3760999999998,2369675840,3095153521.35
2019-06-20T00:00:00Z,9287.5,9617.5,9220.5,9532,1189.8290499999998,1282.3459999999998,876.3760999999998,3386442163,3113180025
2019-06-21T00:00:00Z,9532,10287.5,9532,10279.5,1189.8290499999998,1282.3459999999998,876.3760999999998,4977947552,3279972747.75
2019-06-22T00:00:00Z,10279.5,11231.5,10111.5,10692,1189.8290499999998,1282.3459999999998,876.3760999999998,8690081969,3607762073.6
2019-06-23T00:00:00Z,10692,11286.5,10481,10841.5,1189.8290499999998,1282.3459999999998,876.3760999999998,4814790379,3653260179
2019-06-24T00:00:00Z,10841.5,11110,10540,11045,1189.8290499999998,1282.3459999999998,876.3760999999998,4042855593,3604726504.55
2019-06-25T00:00:00Z,11045,11797.5,10996,11760.5,1189.8290499999998,1282.3459999999998,876.3760999999998,6027587362,3742137138.1
2019-06-26T00:00:00Z,11760.5,13920,11633,12930,1189.8290499999998,1282.3459999999998,876.3760999999998,13608094356,4274271592.25
